Date,Product_ID,Category,Subcategory,Supplier_ID,Price,Cost,Units_Sold,Discount,Promotion_Type,Revenue,Profit,Year,Month,Day,DayOfWeek,WeekOfYear,Has_Promotion,Profit_Margin,Lag_1,Lag_7,Lag_30,Rolling_Mean_7,Rolling_Mean_30
2023-01-31,P0001,Electronics,Smartphones,S011,477.48,309.96,12,0.0,No Promotion,5729.76,2010.2400000000005,2023,1,31,1,5,0,167.52000000000004,12.0,12.0,15.0,10.428571428571429,11.466666666666667
2023-02-01,P0001,Electronics,Smartphones,S011,478.12,362.58,4,0.0,No Promotion,1912.48,462.1600000000001,2023,2,1,2,5,0,115.54000000000002,12.0,7.0,12.0,10.428571428571429,11.366666666666667
2023-02-02,P0001,Electronics,Smartphones,S011,477.32,361.55,7,0.0,No Promotion,3341.24,810.3899999999999,2023,2,2,3,5,0,115.76999999999998,4.0,12.0,9.0,10.0,11.1
2023-02-03,P0001,Electronics,Smartphones,S011,477.57,393.7,12,0.0,No Promotion,5730.84,1006.44,2023,2,3,4,5,0,83.87,7.0,10.0,12.0,9.285714285714286,11.033333333333333
2023-02-04,P0001,Electronics,Smartphones,S011,477.49,385.67,8,0.0,No Promotion,3819.92,734.56,2023,2,4,5,5,0,91.82,12.0,7.0,13.0,9.571428571428571,11.033333333333333
2023-02-05,P0001,Electronics,Smartphones,S011,477.64,390.32,7,0.0,No Promotion,3343.48,611.24,2023,2,5,6,5,0,87.32,8.0,13.0,9.0,9.714285714285714,10.866666666666667
2023-02-06,P0001,Electronics,Smartphones,S011,478.29,288.31,14,0.0,No Promotion,6696.06,2659.7200000000003,2023,2,6,0,6,0,189.98000000000002,7.0,12.0,14.0,8.857142857142858,10.8
2023-02-07,P0001,Electronics,Smartphones,S011,478.05,288.42,11,0.0,No Promotion,5258.55,2085.93,2023,2,7,1,6,0,189.63,14.0,12.0,15.0,9.142857142857142,10.8
2023-02-08,P0001,Electronics,Smartphones,S011,477.9,363.17,10,0.0,No Promotion,4779.0,1147.2999999999997,2023,2,8,2,6,0,114.72999999999996,11.0,4.0,11.0,9.0,10.666666666666666
2023-02-09,P0001,Electronics,Smartphones,S011,477.52,280.53,6,0.0,No Promotion,2865.12,1181.94,2023,2,9,3,6,0,196.99,10.0,7.0,9.0,9.857142857142858,10.633333333333333
2023-02-10,P0001,Electronics,Smartphones,S011,477.55,264.4,18,0.0,No Promotion,8595.9,3836.7000000000007,2023,2,10,4,6,0,213.15000000000003,6.0,12.0,15.0,9.714285714285714,10.533333333333333
