Date,Product_ID,Category,Subcategory,Supplier_ID,Price,Cost,Units_Sold,Discount,Promotion_Type
2023-01-01,P0001,Electronics,Smartphones,S011,477.72,357.89,15,0.0,None
2023-01-01,P0002,Electronics,Smartwatches,S004,1975.72,1214.57,25,40.8,FlashSale
2023-01-01,P0003,Electronics,Laptops,S020,639.83,383.77,11,34.8,FlashSale
2023-01-01,P0004,Electronics,Smartwatches,S014,917.88,731.23,5,0.0,None
2023-01-01,P0005,Electronics,Smartwatches,S018,109.66,83.19,6,0.0,None
2023-01-01,P0006,Electronics,Cameras,S016,1935.39,1125.47,7,45.5,FlashSale
2023-01-01,P0007,Electronics,Smartwatches,S015,1764.8,1374.76,18,18.2,FlashSale
2023-01-01,P0008,Electronics,Smartphones,S020,1040.66,601.28,7,0.0,None
2023-01-01,P0009,Home,Furniture,S010,470.87,366.26,2,0.0,None
2023-01-01,P0010,Home,Furniture,S015,113.27,51.64,21,21.3,FlashSale
2023-01-01,P0011,Home,Decor,S011,97.43,53.14,4,13.6,FlashSale
2023-01-01,P0012,Home,Decor,S009,331.13,151.17,9,20.0,PercentOff
2023-01-01,P0013,Home,Bedding,S013,341.71,161.55,26,18.4,FlashSale
2023-01-01,P0014,Home,Lighting,S003,324.06,233.21,10,0.0,None
2023-01-01,P0015,Home,Bedding,S003,274.01,226.08,25,47.3,Bundle
2023-01-01,P0016,Clothing,Accessories,S010,214.73,145.38,20,0.0,None
2023-01-01,P0017,Clothing,Shoes,S005,90.98,74.09,28,0.0,None
2023-01-01,P0018,Clothing,Accessories,S010,58.72,39.76,64,32.8,FlashSale
2023-01-01,P0019,Clothing,Dresses,S012,183.28,101.9,32,0.0,None
2023-01-01,P0020,Clothing,Shoes,S003,292.6,239.98,36,10.0,FlashSale
2023-01-01,P0021,Clothing,Accessories,S018,280.32,203.45,37,0.0,None
2023-01-01,P0022,Clothing,Shirts,S014,196.19,118.27,73,25.3,PercentOff
2023-01-01,P0023,Grocery,Canned,S016,45.95,36.97,37,0.0,None
2023-01-01,P0024,Grocery,Canned,S009,3.28,2.74,51,15.9,Bundle
2023-01-01,P0025,Grocery,Bakery,S019,35.0,21.59,31,26.3,Bundle
2023-01-01,P0026,Grocery,Bakery,S017,42.61,32.36,95,48.8,FlashSale
2023-01-01,P0027,Grocery,Snacks,S019,9.73,6.48,120,42.0,PercentOff
2023-01-01,P0028,Grocery,Beverages,S002,24.86,17.42,63,32.9,PercentOff
2023-01-01,P0029,Grocery,Canned,S004,34.17,28.01,31,0.0,None
2023-01-01,P0030,Beauty,Bath,S014,32.14,20.09,16,0.0,None
2023-01-01,P0031,Beauty,Makeup,S016,124.52,62.47,33,40.5,PercentOff
2023-01-01,P0032,Beauty,Makeup,S004,115.09,73.39,25,47.6,PercentOff
2023-01-01,P0033,Beauty,Fragrance,S016,30.89,25.95,5,0.0,None
2023-01-01,P0034,Beauty,Bath,S009,52.14,33.73,16,45.5,PercentOff
2023-01-01,P0035,Beauty,Fragrance,S010,54.71,39.63,33,48.4,FlashSale
2023-01-01,P0036,Beauty,Bath,S016,132.76,73.47,9,0.0,None
2023-01-01,P0037,Sports,Cycling,S014,81.86,53.63,4,0.0,None
2023-01-01,P0038,Sports,Team Sports,S009,49.17,33.35,8,0.0,None
2023-01-01,P0039,Sports,Fitness,S005,342.65,176.21,7,0.0,None
2023-01-01,P0040,Sports,Yoga,S015,198.42,148.98,8,0.0,None
2023-01-01,P0041,Sports,Yoga,S016,113.8,52.58,2,35.5,Bundle
2023-01-01,P0042,Sports,Outdoor,S009,361.13,302.94,7,0.0,None
2023-01-01,P0043,Sports,Cycling,S015,244.36,142.78,25,25.9,FlashSale
2023-01-01,P0044,Toys,Educational,S014,92.32,77.42,9,0.0,None
2023-01-01,P0045,Toys,Action Figures,S010,44.83,33.5,18,0.0,None
2023-01-01,P0046,Toys,Educational,S004,37.24,29.42,25,44.7,FlashSale
2023-01-01,P0047,Toys,Outdoor Toys,S009,145.42,85.57,12,23.0,Bundle
2023-01-01,P0048,Toys,Dolls,S014,110.47,72.32,6,0.0,None
2023-01-01,P0049,Toys,Educational,S003,123.05,82.4,9,0.0,None
2023-01-01,P0050,Toys,Board Games,S016,71.31,44.21,16,0.0,None
2023-01-02,P0001,Electronics,Smartphones,S011,477.75,283.69,12,0.0,None
2023-01-02,P0002,Electronics,Smartwatches,S004,1975.67,1282.74,11,0.0,None
2023-01-02,P0003,Electronics,Laptops,S020,639.82,361.97,6,0.0,None
2023-01-02,P0004,Electronics,Smartwatches,S014,917.85,771.64,12,0.0,None
2023-01-02,P0005,Electronics,Smartwatches,S018,109.66,82.05,4,0.0,None
2023-01-02,P0006,Electronics,Cameras,S016,1935.42,1556.87,2,0.0,None
